gender,age,L,M,S
0,49,0.0912,102.4361,0.04
0,50,0.0695,102.9779,0.0399
0,51,0.048,103.5197,0.0398
0,52,0.0267,104.0616,0.0397
0,53,0.0054,104.6034,0.0396
0,54,-0.0216,105.1425,0.0395
0,55,-0.0484,105.6816,0.0395
0,56,-0.0751,106.2208,0.0394
0,57,-0.1016,106.76,0.0393
0,58,-0.128,107.2992,0.0392
0,59,-0.1543,107.8384,0.0391
0,60,-0.1404,108.3714,0.039
0,61,-0.1266,108.9045,0.039
0,62,-0.113,109.4375,0.0389
0,63,-0.0994,109.9706,0.0389
0,64,-0.086,110.5036,0.0388
0,65,-0.0726,111.0366,0.0388
0,66,-0.0272,111.5656,0.0388
0,67,0.0175,112.0946,0.0388
0,68,0.0614,112.6235,0.0388
0,69,0.1047,113.1523,0.0388
0,70,0.1472,113.6811,0.0388
0,71,0.1891,114.2098,0.0388
0,72,0.2115,114.7289,0.0388
0,73,0.2335,115.2479,0.0388
0,74,0.255,115.767,0.0389
0,75,0.2762,116.286,0.0389
0,76,0.297,116.805,0.039
0,77,0.3174,117.324,0.039
0,78,0.2769,117.8257,0.0391
0,79,0.2373,118.3274,0.0391
0,80,0.1986,118.8292,0.0392
0,81,0.1606,119.331,0.0393
0,82,0.1235,119.8329,0.0394
0,83,0.0872,120.3348,0.0394
0,84,0.0163,120.8229,0.0396
0,85,-0.0528,121.311,0.0397
0,86,-0.1201,121.7993,0.0398
0,87,-0.1857,122.2876,0.0399
0,88,-0.2496,122.7761,0.04
0,89,-0.3119,123.2646,0.0401
0,90,-0.3571,123.7505,0.0402
0,91,-0.4012,124.2364,0.0404
0,92,-0.4442,124.7224,0.0405
0,93,-0.4862,125.2084,0.0406
0,94,-0.5271,125.6944,0.0407
0,95,-0.567,126.1805,0.0408
0,96,-0.5993,126.6703,0.041
0,97,-0.6308,127.1601,0.0411
0,98,-0.6616,127.65,0.0412
0,99,-0.6918,128.1399,0.0413
0,100,-0.7213,128.6297,0.0414
0,101,-0.7502,129.1197,0.0415
0,102,-0.779,129.6197,0.0416
0,103,-0.807,130.1199,0.0417
0,104,-0.8342,130.62,0.0418
0,105,-0.8608,131.1202,0.042
0,106,-0.8868,131.6204,0.0421
0,107,-0.9121,132.1207,0.0422
0,108,-0.8812,132.6442,0.0423
0,109,-0.851,133.1677,0.0425
0,110,-0.8214,133.6912,0.0426
0,111,-0.7924,134.2147,0.0428
0,112,-0.764,134.7382,0.0429
0,113,-0.7362,135.2617,0.043
0,114,-0.6545,135.8116,0.0432
0,115,-0.574,136.3617,0.0433
0,116,-0.4946,136.9119,0.0434
0,117,-0.4162,137.4622,0.0435
0,118,-0.3389,138.0126,0.0436
0,119,-0.2627,138.5631,0.0438
0,120,-0.1573,139.1218,0.0438
0,121,-0.0528,139.6805,0.0439
0,122,0.0509,140.2395,0.0439
0,123,0.1538,140.7986,0.044
0,124,0.2558,141.3578,0.044
0,125,0.3569,141.9172,0.0441
0,126,0.4653,142.4689,0.044
0,127,0.5738,143.0207,0.044
0,128,0.6821,143.5726,0.0439
0,129,0.7904,144.1246,0.0438
0,130,0.8986,144.6765,0.0438
0,131,1.0066,145.2285,0.0437
0,132,1.1242,145.7568,0.0435
0,133,1.2433,146.2852,0.0433
0,134,1.3638,146.8136,0.0431
0,135,1.4857,147.3421,0.0429
0,136,1.609,147.8706,0.0427
0,137,1.7336,148.399,0.0425
0,138,1.8239,148.8746,0.0421
0,139,1.9161,149.3501,0.0418
0,140,2.0103,149.8256,0.0415
0,141,2.1065,150.3011,0.0412
0,142,2.2047,150.7766,0.0409
0,143,2.3049,151.2521,0.0406
0,144,2.3447,151.6571,0.0402
0,145,2.3855,152.0621,0.0399
0,146,2.4272,152.4672,0.0395
0,147,2.4699,152.8722,0.0392
0,148,2.5136,153.2772,0.0388
0,149,2.5584,153.6821,0.0385
0,150,2.5648,154.0138,0.0382
0,151,2.5712,154.3455,0.0378
0,152,2.5775,154.6772,0.0375
0,153,2.5837,155.0089,0.0372
0,154,2.5899,155.3405,0.0368
0,155,2.5959,155.6722,0.0365
0,156,2.5607,155.9198,0.0362
0,157,2.5239,156.1672,0.036
0,158,2.4856,156.4146,0.0357
0,159,2.4458,156.6619,0.0355
0,160,2.4042,156.9091,0.0352
0,161,2.3609,157.1562,0.035
0,162,2.3149,157.3292,0.0348
0,163,2.2677,157.5021,0.0346
0,164,2.2195,157.675,0.0345
0,165,2.1701,157.8478,0.0343
0,166,2.1196,158.0205,0.0342
0,167,2.0679,158.1932,0.034
0,168,2.0549,158.3159,0.0339
0,169,2.0417,158.4387,0.0338
0,170,2.0284,158.5614,0.0337
0,171,2.015,158.6842,0.0336
0,172,2.0014,158.8069,0.0335
0,173,1.9877,158.9297,0.0335
0,174,1.967,159.0139,0.0334
0,175,1.9462,159.0981,0.0333
0,176,1.9254,159.1823,0.0332
0,177,1.9045,159.2666,0.0332
0,178,1.8835,159.3508,0.0331
0,179,1.8625,159.4351,0.033
0,180,1.79,159.4917,0.033
0,181,1.7178,159.5483,0.033
0,182,1.6457,159.6051,0.0329
0,183,1.5739,159.6619,0.0329
0,184,1.5022,159.7189,0.0328
0,185,1.4308,159.776,0.0328
0,186,1.3515,159.8149,0.0328
0,187,1.2721,159.8539,0.0327
0,188,1.1928,159.893,0.0327
0,189,1.1134,159.9321,0.0326
0,190,1.034,159.9714,0.0326
0,191,0.9547,160.0107,0.0325
0,192,0.8678,160.0286,0.0325
0,193,0.7803,160.0465,0.0324
0,194,0.6921,160.0644,0.0323
0,195,0.6032,160.0823,0.0322
0,196,0.5137,160.1002,0.0322
0,197,0.4236,160.1182,0.0321
0,198,0.332,160.1342,0.032
0,199,0.2396,160.1502,0.032
0,200,0.1464,160.1661,0.0319
0,201,0.0522,160.1821,0.0318
0,202,-0.0428,160.198,0.0317
0,203,-0.1387,160.214,0.0317
0,204,-0.164,160.2483,0.0316
0,205,-0.1896,160.2827,0.0316
0,206,-0.2154,160.317,0.0315
0,207,-0.2414,160.3514,0.0315
0,208,-0.2675,160.3857,0.0314
0,209,-0.294,160.42,0.0314
0,210,-0.311,160.4524,0.0313
0,211,-0.3282,160.4847,0.0313
0,212,-0.3456,160.5171,0.0313
0,213,-0.3631,160.5494,0.0312
0,214,-0.3808,160.5817,0.0312
0,215,-0.3985,160.614,0.0311
0,216,-0.4107,160.6484,0.0311
0,217,-0.4229,160.6827,0.031
0,218,-0.4352,160.7171,0.031
0,219,-0.4476,160.7514,0.031
0,220,-0.4601,160.7857,0.0309
0,221,-0.4727,160.82,0.0309
0,222,-0.4804,160.8591,0.0309
0,223,-0.4881,160.8981,0.0308
0,224,-0.4959,160.9372,0.0308
0,225,-0.5037,160.9762,0.0307
0,226,-0.5116,161.0153,0.0307
0,227,-0.5195,161.0543,0.0307
