,0
0,https://www.kmcric.com/database/acupoint/LU/LU1
1,https://www.kmcric.com/database/acupoint/LU/LU2
2,https://www.kmcric.com/database/acupoint/LU/LU3
3,https://www.kmcric.com/database/acupoint/LU/LU4
4,https://www.kmcric.com/database/acupoint/LU/LU5
5,https://www.kmcric.com/database/acupoint/LU/LU6
6,https://www.kmcric.com/database/acupoint/LU/LU7
7,https://www.kmcric.com/database/acupoint/LU/LU8
8,https://www.kmcric.com/database/acupoint/LU/LU9
9,https://www.kmcric.com/database/acupoint/LU/LU10
10,https://www.kmcric.com/database/acupoint/LU/LU11
11,https://www.kmcric.com/database/acupoint/HT/HT1
12,https://www.kmcric.com/database/acupoint/HT/HT2
13,https://www.kmcric.com/database/acupoint/HT/HT3
14,https://www.kmcric.com/database/acupoint/HT/HT4
15,https://www.kmcric.com/database/acupoint/HT/HT5
16,https://www.kmcric.com/database/acupoint/HT/HT6
17,https://www.kmcric.com/database/acupoint/HT/HT7
18,https://www.kmcric.com/database/acupoint/HT/HT8
19,https://www.kmcric.com/database/acupoint/HT/HT9
20,https://www.kmcric.com/database/acupoint/PC/PC1
21,https://www.kmcric.com/database/acupoint/PC/PC2
22,https://www.kmcric.com/database/acupoint/PC/PC3
23,https://www.kmcric.com/database/acupoint/PC/PC4
24,https://www.kmcric.com/database/acupoint/PC/PC5
25,https://www.kmcric.com/database/acupoint/PC/PC6
26,https://www.kmcric.com/database/acupoint/PC/PC7
27,https://www.kmcric.com/database/acupoint/PC/PC8
28,https://www.kmcric.com/database/acupoint/PC/PC9
29,https://www.kmcric.com/database/acupoint/LI/LI1
30,https://www.kmcric.com/database/acupoint/LI/LI2
31,https://www.kmcric.com/database/acupoint/LI/LI3
32,https://www.kmcric.com/database/acupoint/LI/LI4
33,https://www.kmcric.com/database/acupoint/LI/LI5
34,https://www.kmcric.com/database/acupoint/LI/LI6
35,https://www.kmcric.com/database/acupoint/LI/LI7
36,https://www.kmcric.com/database/acupoint/LI/LI8
37,https://www.kmcric.com/database/acupoint/LI/LI9
38,https://www.kmcric.com/database/acupoint/LI/LI10
39,https://www.kmcric.com/database/acupoint/LI/LI11
40,https://www.kmcric.com/database/acupoint/LI/LI12
41,https://www.kmcric.com/database/acupoint/LI/LI13
42,https://www.kmcric.com/database/acupoint/LI/LI14
43,https://www.kmcric.com/database/acupoint/LI/LI15
44,https://www.kmcric.com/database/acupoint/LI/LI16
45,https://www.kmcric.com/database/acupoint/LI/LI17
46,https://www.kmcric.com/database/acupoint/LI/LI18
47,https://www.kmcric.com/database/acupoint/LI/LI19
48,https://www.kmcric.com/database/acupoint/LI/LI20
49,https://www.kmcric.com/database/acupoint/SI/SI1
50,https://www.kmcric.com/database/acupoint/SI/SI2
51,https://www.kmcric.com/database/acupoint/SI/SI3
52,https://www.kmcric.com/database/acupoint/SI/SI4
53,https://www.kmcric.com/database/acupoint/SI/SI5
54,https://www.kmcric.com/database/acupoint/SI/SI6
55,https://www.kmcric.com/database/acupoint/SI/SI7
56,https://www.kmcric.com/database/acupoint/SI/SI8
57,https://www.kmcric.com/database/acupoint/SI/SI9
58,https://www.kmcric.com/database/acupoint/SI/SI10
59,https://www.kmcric.com/database/acupoint/SI/SI11
60,https://www.kmcric.com/database/acupoint/SI/SI12
61,https://www.kmcric.com/database/acupoint/SI/SI13
62,https://www.kmcric.com/database/acupoint/SI/SI14
63,https://www.kmcric.com/database/acupoint/SI/SI15
64,https://www.kmcric.com/database/acupoint/SI/SI16
65,https://www.kmcric.com/database/acupoint/SI/SI17
66,https://www.kmcric.com/database/acupoint/SI/SI18
